message_id,user_id,cluster_id,subcluster_id,subcluster_name,sentiment_label,age_num,city_canon,ts,text_redacted,redaction_applied
001a60de242af264,57550ec17795,4,40,Health access and registration,Neutral,21.0,Medellín,2026-07-08 16:47:43.029,Sii,False
001fa5deed77e19f,5969c82a3eb7,4,41,Food and shelter from organisations,Neutral,48.0,Other,2026-05-13 23:59:14.814,Quisiera saber si algún tipo de ayuda económica para los migrantes Venezolanos ?,False
005e5876e76ad2bb,befd38dd27f0,2,20,Family nationality options,Neutral,26.0,Other,2026-05-05 21:47:09.919,Cuanto más tiempo tengo que esperar para obtener el PPT si ya tengo más de 18 años,False
005e8d3aa2f51ccf,9d8a3f92a7aa,2,20,Family nationality options,Neutral,29.0,Medellín,2026-05-05 16:36:49.598,Hola,False
00606a11e60c877a,cf1e2d9e5c95,4,40,Health access and registration,Neutral,22.0,Cúcuta,2026-03-27 15:22:44.121,Venezolana,False
0061ffa8d8fea036,e06423c70b3e,4,40,Health access and registration,Neutral,38.0,Medellín,2026-07-09 01:19:40.569,Donde puedo llevar a un niño sin ppt al odontologia,False
006cdff187c6e7c8,d15954e0f85c,0,1,Looking for work and training,Neutral,26.0,Cúcuta,2026-07-15 13:31:23.082,Me gustaria conseguir estabilidad para mi y mis 2 hermanas,False
007623694e3191f8,e1a3c59b06d0,2,20,Family nationality options,Neutral,28.0,Cúcuta,2026-07-15 00:05:01.430,quiero saber si puedo obtener el ppt por tener hijos colombianos,False
007b19411a458ed6,6c99e1a0bd00,4,40,Health access and registration,Negative,28.0,Bogotá,2026-06-22 16:44:44.620,Disculpa que es redacta un correo,False
008a08e5e1766978,9495fff13123,2,21,Regularising status abroad,Neutral,5.0,Medellín,2026-04-20 16:50:18.537,Si que papeles se necesita para la visa,False
0096a5ccab8e82cd,6863d38c2d07,2,20,Family nationality options,Neutral,30.0,Medellín,2026-03-25 20:56:58.599,"Estoy en Colombia solo con mi cédula venezolana y quiero trabajar, qué debo hacer ?",False
00d9a64627c59709,329758511943,2,20,Family nationality options,Neutral,7.0,Santa Marta,2026-06-12 17:14:56.073,Requisitos para nacionalizar a mi hija menor de edad que es venezolana,False
00dea89e0c9c84e8,01b6e41756d9,1,10,Biometrics and minors' documents,Positive,36.0,Barranquilla,2026-06-13 13:31:24.392,Gracias 🫂,False
00f93926dfc5510f,e4bb3d69fa67,1,10,Biometrics and minors' documents,Neutral,21.0,Barranquilla,2026-06-24 03:53:34.623,Quiero tener algo para poder trabajar,False
00ff4b50c757a16a,cc831ab48d9d,2,22,Apostilles and birth records,Positive,35.0,Medellín,2026-05-28 21:51:44.803,Bueno muchas gracias,False
