user_id,cluster_id,subcluster_id,subcluster_name,dominant_sentiment,age_num,city_canon,n_messages,ts_first,ts_last,conversation_text,redaction_applied
0014ad7a21e3,3,30,Biometrics and minors' documents,Neutral,29.0,Other,5,2026-05-05 16:35:43.059,2026-05-05 16:35:43.059,"Los trámites de los PPT de mis hijas lo realize el 29- 08-2025 y este es fecha que aún no me lo entregan

Si por favor

Necoclí es un municipio que pertenece al país Colombia.

Está ubicado en la región de Urabá, al norte del departamento de Antioquia, cerca del mar Caribe 🌊.

Esa es mi dirección",False
001ea31cd267,4,40,Services and integration,Neutral,45.0,Medellín,1,2026-07-09 18:13:07.151,2026-07-09 18:13:07.151,Agencias públicas,False
006dab9688be,3,30,Biometrics and minors' documents,Neutral,17.0,Medellín,2,2026-05-28 21:54:09.493,2026-05-28 21:54:09.493,"Quiero saber si aún puedo hacer el trámite para obtener el ppt

Ok muchas gracias y dónde me podrían ayudar para hacer el trámite",False
00a16c4cc1a9,3,31,Brigades and paperwork steps,Neutral,19.0,Santa Marta,1,2026-07-11 22:40:57.399,2026-07-11 22:40:57.399,Como puedo sacar en ptt,False
00b7b18ae81a,1,10,Visas and travel abroad,Neutral,33.0,Other,1,2026-06-22 17:23:05.496,2026-06-22 17:23:05.496,Que servicios puedo acceder como migrante,False
00e5e5188fa3,2,20,Family nationality options,Neutral,31.0,Medellín,6,2026-05-28 21:26:45.293,2026-05-28 21:26:45.293,"Como hago para tener atención médica

Como hago para hacer me unos exámenes sin pagar xq no tengo eps

Como hago para sacar me el permiso de aquí en Colombia

Permiso por protección temporal

Permiso temporal de permanencia

Como se saca ese permiso",False
01a55f6e2bfc,5,52,Single mothers seeking economic support,Neutral,22.0,Other,1,2026-05-05 23:22:05.432,2026-05-05 23:22:05.432,Quiero sabre sobre las ayudas a madres gestantes,False
01b6e41756d9,3,30,Biometrics and minors' documents,Neutral,36.0,Barranquilla,4,2026-06-13 13:31:24.392,2026-06-13 13:31:24.392,"En el centro integrate no me ayudan con ese trámite

Si x porfavor .

Me encuentro en Barranquilla

Quiero pedir citas medicas en mutualser y caja copi . Cuáles son los numero a llama r",False
01c9824c67eb,5,51,Food and shelter from organisations,Neutral,40.0,Barranquilla,1,2026-06-13 20:08:41.432,2026-06-13 20:08:41.432,Cómo recibir ayudas para venezolanos en barranquilla,False
01e874a94ef6,5,51,Food and shelter from organisations,Neutral,32.0,Medellín,4,2026-05-12 23:28:05.394,2026-05-12 23:28:05.394,"Que ayudás brindan a los migrantes

Si que emprendimientos podría hacer

Me encuentro en Rionegro medellín Antioquia

Dirección exacta de [nombre]",True
