message_id,human_label,model_label
03147361c247b504,neutral,neutral
cf6e3d88cd06b10f,neutral,joy
8747f93d0fd9fd66,neutral,joy
df6c4bd0fe27810b,neutral,neutral
efa15244a8ae8576,fear,anger
b937f7bccb7f72a7,sadness,sadness
9b2d10aeb7690bc7,neutral,neutral
67a30513a0d36dbc,anger,anger
9f3bed9c73019368,neutral,neutral
4e8ab060359c37e6,neutral,neutral
b15021ac69cd4e2f,neutral,neutral
99906c3afa6ff714,neutral,neutral
54d08a3d2a6f16d3,fear,fear
285a7d8ce2d4e05e,joy,joy
11d6c8d5350cb020,fear,fear
d1631313ad558ce8,neutral,neutral
69eafeae36e8f853,sadness,anger
671689e63541e74e,neutral,neutral
005e5876e76ad2bb,neutral,anger
3156bf4718deef52,neutral,neutral
15f835ee61901a5a,joy,joy
d6754c7d5744ed18,sadness,sadness
ad721fa33bb6c852,sadness,sadness
d14241078daa6a70,neutral,neutral
73250677f0d8e41d,neutral,sadness
61766ac41e625e9b,sadness,sadness
7ef056b128251105,neutral,sadness
7e4300242a9ec426,sadness,sadness
46340a8fd5a35e7a,neutral,joy
3fc7c211a8b43deb,anger,anger
c083e38b35f36cb7,sadness,anger
e2312d5e1fac53e7,joy,joy
645d928d068803bf,fear,sadness
67a1da0fefb5670b,joy,joy
b5389391fccb7ed1,neutral,fear
ecf63a98c2b0e85b,neutral,neutral
4648309d16c4bfe5,neutral,neutral
1759ca89b60db656,sadness,sadness
e8d3aca88fbabab3,neutral,neutral
ae7e3ddf2bacbc86,neutral,neutral
8f741aaf58ef66da,neutral,neutral
63d0217ddb20221d,neutral,joy
9444e3f4ec80a9a9,sadness,sadness
9eaa23d95c60972e,neutral,neutral
8a085fb6e0613097,sadness,sadness
68432668a9c9b604,neutral,neutral
07ec22ccf38658e7,sadness,sadness
2168867ae5569427,neutral,neutral
9dad678d8bc10255,anger,anger
62ce79918fc7f688,sadness,anger
3539f55f1cc94cb6,neutral,sadness
1a84a7dc4159b8a9,neutral,neutral
4ec07039c0fb9161,neutral,neutral
4a319929d4610985,neutral,neutral
8a83a5ae467be607,neutral,fear
a8b605c68c78a7a6,neutral,joy
8f6330e70e1cd82c,neutral,joy
1448d7334b7503aa,sadness,anger
d2c633d1e620e214,neutral,neutral
94d402ae65b482e2,neutral,neutral
475ec2c025d535ff,neutral,neutral
adc411cc35859f8c,neutral,joy
f2bafe09eaf44373,anger,anger
a374726487130913,neutral,neutral
d73f7813703ed7d8,neutral,joy
cc65a73d478b21e7,neutral,neutral
7944d006324f46ae,neutral,fear
73fbc052cc205a65,neutral,neutral
d4245f90f4eb5f38,sadness,sadness
2f118d6fc43c16c1,neutral,joy
2fa9bf8f3b8f9424,anger,anger
b534e224275e72f4,neutral,neutral
4d3d6f54337cd89e,neutral,neutral
73c0ebaa94c890f6,neutral,neutral
937f9e44e69feebb,neutral,neutral
e59deeb1d4b67f61,neutral,neutral
b2fe48a3a2b7022d,neutral,joy
3ec53bd7f864e637,neutral,anger
784da88f192bd936,neutral,neutral
8be2bc0a9f010c7d,fear,fear
1279871837affc9b,joy,joy
3647a668aad4f8b8,neutral,neutral
3544e0a08de12edb,fear,fear
0e0a2d5240826871,neutral,fear
0616a7a4afe86395,neutral,neutral
c25af99d22620fc9,neutral,joy
2a187eb2ff6aa370,sadness,sadness
dd7ffa84d51a6bc2,sadness,sadness
6a93eab499c02717,neutral,neutral
3e34003818def160,neutral,joy
3c7f47db62b85fdb,neutral,neutral
6d273d490ba6c235,sadness,sadness
4d55bf9e63eb718e,sadness,sadness
6f372d54d27ee8c8,joy,joy
b1171bc1b1f1e5f6,joy,joy
629351db4cd79852,neutral,neutral
f0d13eeda7f4082e,neutral,neutral
9905e2147c53a988,neutral,neutral
1ff4a03069236938,neutral,neutral
af16a617b32e8087,neutral,neutral
4a388b9ffc62d14b,sadness,fear
9f6b379729950d7e,anger,anger
548e64b65fd018d7,fear,anger
b4133ab18eae7fe6,neutral,neutral
3b3fc7c3e06f5503,sadness,anger
5e354a2ab2dc85ca,joy,joy
84b55facdc4d4262,neutral,neutral
4ed55a08274d4463,neutral,neutral
d0ae483601647687,fear,anger
6fb2acd08124a3c6,neutral,neutral
710d6cb427f2dd77,sadness,anger
e29444a563b7c5bc,neutral,neutral
c6bef241bea1b31f,fear,sadness
df20394cc22e865b,fear,fear
